Title,Bag of Words
The Shawshank Redemption,crime drama frankdarabont timrobbins morganfreeman bobgunton acts common decency eventual redemption two imprisoned men bond years finding solace number 
The Godfather,crime drama francisfordcoppola marlonbrando alpacino jamescaan reluctant son aging patriarch organized crime dynasty transfers control clandestine empire 
The Godfather: Part II,crime drama francisfordcoppola alpacino robertduvall dianekeaton tightens grip 1920s new york early life michael career expands family crime syndicate son portrayed vito corleone 
The Dark Knight,action crime drama christophernolan christianbale heathledger aaroneckhart greatest psychological chaos gotham ability joker emerges physical tests mysterious past dark knight must accept one wreaks havoc fight injustice people menace known 
12 Angry Men,crime drama sidneylumet martinbalsam johnfiedler leej.cobb jury holdout attempts colleagues prevent justice miscarriage reconsider evidence forcing 
Schindler's List,biography drama history stevenspielberg liamneeson benkingsley ralphfiennes oskar schindler gradually becomes concerned occupied poland nazi germans persecution witnessing german jewish workforce world war ii 
The Lord of the Rings: The Return of the King,adventure drama fantasy peterjackson noelappleby aliastin seanastin men sam frodo one ring approach mount doom gaze army draw sauron aragorn lead world gandalf 
Pulp Fiction,crime drama quentintarantino timroth amandaplummer lauralovelace two mob hit men violence diner bandits intertwine pair four tales redemption boxer gangster lives wife 
Fight Club,drama davidfincher edwardnorton bradpitt meatloaf evolves crosses paths devil change much underground fight club something life may looking forming insomniac office worker way care soap maker 
The Lord of the Rings: The Fellowship of the Ring,adventure drama fantasy peterjackson alanhoward noelappleby seanastin journey meek hobbit save middle earth powerful one ring shire dark lord sauron destroy eight companions set 
Forrest Gump,comedy drama romance robertzemeckis tomhanks rebeccawilliams sallyfield accidentally true love jenny curran forrest gump present eludes intelligent many historic moments 
Star Wars: Episode V - The Empire Strikes Back,action adventure fantasy irvinkershner markhamill harrisonford carriefisher empire plan friends accept shelter darth vader hunts questionable ally rebels capture luke overpowered newly established base skywalker begins jedi training master yoda 
Inception,action adventure sci-fi christophernolan leonardodicaprio josephgordon-levitt ellenpage sharing technology thief steals corporate secrets given planting mind idea inverse task ceo dream use 
The Lord of the Rings: The Two Towers,adventure drama fantasy peterjackson bruceallpress seanastin johnbach shifty gollum help frodo stand isengard sam edge closer saruman hordes sauron new ally divided fellowship makes mordor 
One Flew Over the Cuckoo's Nest,drama milosforman michaelberryman peterbrocco deanr.brooks oppressive nurse criminal pleads insanity mental institution rebels trouble rallies getting scared patients 
Goodfellas,crime drama martinscorsese robertdeniro rayliotta joepesci teen years covering henry hill mob partners jimmy conway life story mafia relationship wife karen american crime syndicate tommy devitto italian 
The Matrix,action sci-fi lanawachowski lillywachowski keanureeves laurencefishburne carrie-annemoss controllers role computer hacker learns mysterious rebels reality true nature war 
Star Wars: Episode IV - A New Hope,action adventure fantasy georgelucas markhamill harrisonford carriefisher empire evil darth vader luke skywalker joins forces wookiee destroying battle save jedi knight cocky pilot galaxy station also attempting rescue princess leia world two droids 
Se7en,crime drama mystery davidfincher morganfreeman andrewkevinwalker kevinspacey two detectives hunt motives veteran uses rookie seven deadly sins serial killer 
It's a Wonderful Life,drama family fantasy frankcapra jamesstewart donnareed lionelbarrymore sent never existed help like desperately frustrated businessman life would heaven angel showing 
The Silence of the Lambs,crime drama thriller jonathandemme jodiefoster lawrencea.bonney kasilemmons young f b skins help cadet must confide receive incarcerated victims catching another serial killer manipulative 
The Usual Suspects,crime drama mystery bryansinger stephenbaldwin gabrielbyrne beniciodeltoro began horrific gun battle seemingly random police lineup boat sole survivor tells twisty events leading five criminals met 
Léon: The Professional,crime drama thriller lucbesson jeanreno garyoldman natalieportman assassin old girl reluctantly taken protégée murdered learns professional léon trade mathilda becomes form 12 unusual relationship family year 
Saving Private Ryan,drama war stevenspielberg tomhanks tomsizemore edwardburns action u paratrooper whose brothers killed soldiers go behind enemy lines normandy landings following group retrieve 
City Lights,comedy drama romance charleschaplin virginiacherrill florencelee harrymyers eyed tramp love medically sightless flower girl accumulates money help dewy fallen aid wealthy erratic tippler able 
Interstellar,adventure drama sci-fi christophernolan ellenburstyn matthewmcconaughey mackenziefoy ensure humanity team wormhole explorers travel attempt space survival 
American History X,crime drama tonykaye edwardnorton edwardfurlong beverlyd'angelo prevent going wrong path former neo younger brother nazi skinhead tries 
Modern Times,comedy drama family charleschaplin charleschaplin paulettegoddard henrybergman live help young homeless woman tramp struggles modern industrial society 
Casablanca,drama romance war michaelcurtiz humphreybogart ingridbergman paulhenreid former lover december 1941 cynical american expatriate encounters unforeseen complications casablanca 
The Green Mile,crime drama fantasy frankdarabont tomhanks davidmorse michaelclarkeduncan yet mysterious gift charges guards rape black man accused death row affected one lives child murder 
Psycho,horror mystery thriller alfredhitchcock anthonyperkins veramiles johngavin run young man domination client phoenix secretary embezzles goes employer checks mother remote motel 000 40 
Raiders of the Lost Ark,action adventure stevenspielberg harrisonford karenallen paulfreeman u hired nazis ark adventurer indiana jones government find archaeologist covenant 
The Pianist,biography drama music romanpolanski adrienbrody emiliafox michalzebrowski polish jewish musician struggles survive warsaw ghetto destruction world war ii 
Rear Window,mystery thriller alfredhitchcock jamesstewart gracekelly wendellcorey apartment window committed murder becomes convinced one wheelchair neighbours bound photographer spies 
The Departed,crime drama thriller martinscorsese leonardodicaprio mattdamon jacknicholson undercover cop mole infiltrating irish gang identify police attempt south boston 
Whiplash,drama music damienchazelle milesteller j.k.simmons paulreiser stop cut throat music conservatory dreams promising young drummer enrolls realize greatness instructor mentored potential student nothing 
Terminator 2: Judgment Day,action sci-fi thriller jamescameron arnoldschwarzenegger lindahamilton edwardfurlong advanced cyborg identical failed protect ten year old son john connor one kill sarah must 
Back to the Future,adventure comedy sci-fi robertzemeckis michaelj.fox christopherlloyd leathompson 17 accidentally sent 30 years past time traveling delorean invented marty mcfly maverick scientist doc brown old high school student close friend year 
Gladiator,action adventure drama ridleyscott russellcrowe joaquinphoenix connienielsen betrayed gladiator rome family murdered comes emperor seek revenge roman general corrupt son 
The Lion King,animation adventure drama rogerallers robminkoff rowanatkinson matthewbroderick niketacalame testing penchant boundaries sometimes gets identity future king simba searches trouble eagerness please others lion cub 
The Prestige,drama mystery sci-fi christophernolan hughjackman christianbale michaelcaine ultimate stage illusion two magicians engage attempt upmanship create competitive one 
Apocalypse Now,drama war francisfordcoppola marlonbrando martinsheen robertduvall sent vietnam war cambodia assassinate captain willard local tribe set renegade colonel god among dangerous mission 
Memento,mystery thriller christophernolan guypearce carrie-annemoss joepantoliano term memory loss murderer man juggles searching keeping obstacle short wife 
The Great Dictator,comedy drama war charleschaplin charleschaplin jackoakie reginaldgardiner empire expand avoid persecution hynkel poor jewish barber tries dictator adenoid regime 
Sunset Boulevard,drama film-noir billywilder williamholden gloriaswanson erichvonstroheim rework hired faded silent film star developing dangerous relationship screenwriter script find 
Alien,horror sci-fi ridleyscott tomskerritt sigourneyweaver veronicacartwright landing distress call space merchant vessel perceives unknown transmission form soon realize mysterious life cycle crew attacked merely begun source moon finds one 
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,comedy stanleykubrick petersellers georgec.scott sterlinghayden stop nuclear holocaust path politicians insane general triggers war room full generals frantically try 
Paths of Glory,drama war stanleykubrick kirkdouglas ralphmeeker adolphemenjou cowardice general accuses attack soldiers commanding officer must defend refusing enemy position 
Django Unchained,drama western quentintarantino jamiefoxx christophwaltz leonardodicaprio freed slave sets brutal mississippi plantation owner help german bounty hunter rescue wife 
The Shining,drama horror stanleykubrick jacknicholson shelleyduvall dannylloyd isolated hotel violence future evil father spiritual presence influences psychic son sees horrific forebodings winter family heads past 
Witness for the Prosecution,crime drama mystery billywilder tyronepower marlenedietrich charleslaughton client veteran british barrister must defend surprise murder trial 
The Dark Knight Rises,action thriller christophernolan christianbale garyoldman tomhardy brutal guerrilla terrorist bane joker save gotham city imposed exile help eight years forced edge total annihilation dark knight enigmatic selina anarchy reign 
WALL·E,animation adventure family andrewstanton benburtt elissaknight jeffgarlin fate collecting robot inadvertently embarks ultimately decide mankind small waste distant future space journey 
American Beauty,drama romance sammendes kevinspacey annettebening thorabirch life crisis daughter best friend mid becoming infatuated sexually frustrated suburban father 
Once Upon a Time in America,crime drama sergioleone robertdeniro jameswoods elizabethmcgovern old life lower east side must confront thirty years later ghosts era jewish gangster returns former prohibition manhattan regrets 
Aliens,action adventure sci-fi jamescameron sigourneyweaver carriehenn michaelbiehn 1979 enough rescue team impressive firepower alien contact time moon lost colonized 
Citizen Kane,drama mystery orsonwelles josephcotten dorothycomingore agnesmoorehead news reporters scramble following publishing tycoon final utterance meaning discover death 
North by Northwest,action adventure mystery alfredhitchcock carygrant evamariesaint jamesmason looks survive foreign spies country pursued across government agent group hapless new york advertising executive way mistaken 
